datatype,sample_size,model_name,model_type,evaluation_type,strategy,precision,recall,f1,TP,FN,FP,TN,file_path
bibkyoto,100,gpt-4o-mini-2024-07-18,before,knn,baseline,1.0,0.9505,0.9746,902,47,0,2844,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_100_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._report.txt
bibkyoto,100,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-uncertainty-0904-100:CC1mMx3h,after,knn,uncertainty,0.2502,1.0,0.4003,949,0,2844,0,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_100_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._report.txt
bibkyoto,100,gpt-4o-mini-2024-07-18,before,all_pairs,baseline,1.0,0.9733,0.9864,946,26,0,124278,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_100_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._report.txt
bibkyoto,100,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-uncertainty-0904-100:CC1mMx3h,after,all_pairs,uncertainty,0.0078,1.0,0.0154,972,0,124278,0,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_100_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._report.txt
bibkyoto,100,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-inconsistency-0904-100:CC1lnkkH,before,knn,inconsistency,1.0,0.9779,0.9888,928,21,0,2844,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_100_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._after-gpt-4o-mini-2024-07-18_report.txt
bibkyoto,100,gpt-4o-mini-2024-07-18,after,knn,baseline,1.0,0.9505,0.9746,902,47,0,2844,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_100_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._after-gpt-4o-mini-2024-07-18_report.txt
bibkyoto,100,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-inconsistency-0904-100:CC1lnkkH,before,all_pairs,inconsistency,1.0,0.9866,0.9933,959,13,0,124278,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_100_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._after-gpt-4o-mini-2024-07-18_report.txt
bibkyoto,100,gpt-4o-mini-2024-07-18,after,all_pairs,baseline,1.0,0.9733,0.9864,946,26,0,124278,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_100_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._after-gpt-4o-mini-2024-07-18_report.txt
bibkyoto,400,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-random-0904-400:CCfU0t0c,before,knn,random,0.9989,0.9989,0.9989,948,1,1,2843,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_400_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-random-0..._after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-inconsis..._report.txt
bibkyoto,400,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-inconsistency-0904-400:CCfT89Ug,after,knn,inconsistency,1.0,0.9979,0.9989,947,2,0,2844,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_400_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-random-0..._after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-inconsis..._report.txt
bibkyoto,400,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-random-0904-400:CCfU0t0c,before,all_pairs,random,0.9838,1.0,0.9918,972,0,16,124262,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_400_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-random-0..._after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-inconsis..._report.txt
bibkyoto,400,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-inconsistency-0904-400:CCfT89Ug,after,all_pairs,inconsistency,1.0,0.999,0.9995,971,1,0,124278,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_400_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-random-0..._after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-inconsis..._report.txt
bibkyoto,400,gpt-4o-mini-2024-07-18,before,knn,baseline,1.0,0.9505,0.9746,902,47,0,2844,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_400_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-gpt-4o-mini-2024-07-18_report.txt
bibkyoto,400,gpt-4o-mini-2024-07-18,after,knn,baseline,1.0,0.9505,0.9746,902,47,0,2844,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_400_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-gpt-4o-mini-2024-07-18_report.txt
bibkyoto,400,gpt-4o-mini-2024-07-18,before,all_pairs,baseline,1.0,0.9733,0.9864,946,26,0,124278,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_400_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-gpt-4o-mini-2024-07-18_report.txt
bibkyoto,400,gpt-4o-mini-2024-07-18,after,all_pairs,baseline,1.0,0.9733,0.9864,946,26,0,124278,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_400_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-gpt-4o-mini-2024-07-18_report.txt
bibkyoto,400,gpt-4o-mini-2024-07-18,before,knn,baseline,1.0,0.9505,0.9746,902,47,0,2844,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_400_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-uncertai..._report.txt
bibkyoto,400,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-uncertainty-0904-400:CCfYmRAx,after,knn,uncertainty,0.9948,1.0,0.9974,949,0,5,2839,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_400_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-uncertai..._report.txt
bibkyoto,400,gpt-4o-mini-2024-07-18,before,all_pairs,baseline,1.0,0.9733,0.9864,946,26,0,124278,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_400_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-uncertai..._report.txt
bibkyoto,400,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-uncertainty-0904-400:CCfYmRAx,after,all_pairs,uncertainty,0.9838,1.0,0.9918,972,0,16,124262,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_400_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-uncertai..._report.txt
bibkyoto,400,gpt-4o-mini-2024-07-18,before,knn,baseline,1.0,0.9505,0.9746,902,47,0,2844,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_400_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-diversit..._report.txt
bibkyoto,400,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-diversity-0904-400:CCfU3Efm,after,knn,diversity,0.9979,0.9989,0.9984,948,1,2,2842,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_400_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-diversit..._report.txt
bibkyoto,400,gpt-4o-mini-2024-07-18,before,all_pairs,baseline,1.0,0.9733,0.9864,946,26,0,124278,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_400_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-diversit..._report.txt
bibkyoto,400,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-diversity-0904-400:CCfU3Efm,after,all_pairs,diversity,0.9838,0.999,0.9913,971,1,16,124262,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_400_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-diversit..._report.txt
bibkyoto,200,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-inconsistency-0904-200:CCQgeNBs,before,knn,inconsistency,1.0,1.0,1.0,949,0,0,2844,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_200_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._report.txt
bibkyoto,200,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-random-0904-200:CCQhWGaU,after,knn,random,0.9844,1.0,0.9922,949,0,15,2829,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_200_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._report.txt
bibkyoto,200,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-inconsistency-0904-200:CCQgeNBs,before,all_pairs,inconsistency,1.0,1.0,1.0,972,0,0,124278,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_200_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._report.txt
bibkyoto,200,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-random-0904-200:CCQhWGaU,after,all_pairs,random,0.9838,1.0,0.9918,972,0,16,124262,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_200_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._report.txt
bibkyoto,200,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-diversity-0904-200:CCQgHbRc,before,knn,diversity,0.9844,1.0,0.9922,949,0,15,2829,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_200_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-diversit..._after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-diversit..._report.txt
bibkyoto,200,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-diversity-0904-200:CCQgHbRc,after,knn,diversity,0.9844,1.0,0.9922,949,0,15,2829,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_200_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-diversit..._after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-diversit..._report.txt
bibkyoto,200,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-diversity-0904-200:CCQgHbRc,before,all_pairs,diversity,0.9838,1.0,0.9918,972,0,16,124262,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_200_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-diversit..._after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-diversit..._report.txt
bibkyoto,200,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-diversity-0904-200:CCQgHbRc,after,all_pairs,diversity,0.9838,1.0,0.9918,972,0,16,124262,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_200_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-diversit..._after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyoto-matching-diversit..._report.txt
bibkyoto,200,gpt-4o-mini-2024-07-18,before,knn,baseline,1.0,0.9505,0.9746,902,47,0,2844,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_200_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._report.txt
bibkyoto,200,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-uncertainty-0904-200:CCQhIyGq,after,knn,uncertainty,0.2502,1.0,0.4003,949,0,2844,0,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_200_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._report.txt
bibkyoto,200,gpt-4o-mini-2024-07-18,before,all_pairs,baseline,1.0,0.9733,0.9864,946,26,0,124278,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_200_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._report.txt
bibkyoto,200,ft:gpt-4o-mini-2024-07-18:mlab:bibkyoto-matching-uncertainty-0904-200:CCQhIyGq,after,all_pairs,uncertainty,0.0078,1.0,0.0154,972,0,124278,0,/Users/kasiwamochi/Document/Lab2501/results_bibkyoto/run_500_200_bibkyoto/evaluation_results/eval_async_candidate_pairs_from_record..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_bibkyo..._report.txt
walmart,400,ft:gpt-4o-mini-2024-07-18:mlab:walmart-amazon-matching-uncertainty-0907-400:CCtvQqBj,before,knn,uncertainty,1.0,0.8889,0.9412,32,4,0,2883,/Users/kasiwamochi/Document/Lab2501/results_walmart-amazon/run_500_400_walmart-amazon/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_walmart-amazon-matching-un..._after-ft_gpt-4o-mini-2024-07-18_mlab_walmart-amazon-matching-ra..._report.txt
walmart,400,ft:gpt-4o-mini-2024-07-18:mlab:walmart-amazon-matching-random-0907-400:CCtuaaLC,after,knn,random,0.9677,0.8333,0.8955,30,6,1,2882,/Users/kasiwamochi/Document/Lab2501/results_walmart-amazon/run_500_400_walmart-amazon/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_walmart-amazon-matching-un..._after-ft_gpt-4o-mini-2024-07-18_mlab_walmart-amazon-matching-ra..._report.txt
walmart,400,ft:gpt-4o-mini-2024-07-18:mlab:walmart-amazon-matching-uncertainty-0907-400:CCtvQqBj,before,all_pairs,uncertainty,1.0,0.8889,0.9412,32,4,0,105075,/Users/kasiwamochi/Document/Lab2501/results_walmart-amazon/run_500_400_walmart-amazon/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_walmart-amazon-matching-un..._after-ft_gpt-4o-mini-2024-07-18_mlab_walmart-amazon-matching-ra..._report.txt
walmart,400,ft:gpt-4o-mini-2024-07-18:mlab:walmart-amazon-matching-random-0907-400:CCtuaaLC,after,all_pairs,random,0.9677,0.8333,0.8955,30,6,1,105074,/Users/kasiwamochi/Document/Lab2501/results_walmart-amazon/run_500_400_walmart-amazon/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_walmart-amazon-matching-un..._after-ft_gpt-4o-mini-2024-07-18_mlab_walmart-amazon-matching-ra..._report.txt
walmart,400,ft:gpt-4o-mini-2024-07-18:mlab:walmart-amazon-matching-diversity-0904-400:CCtQGanW,before,knn,diversity,0.4658,0.9444,0.6239,34,2,39,2844,/Users/kasiwamochi/Document/Lab2501/results_walmart-amazon/run_500_400_walmart-amazon/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_walmart-amazon-matching-di..._after-ft_gpt-4o-mini-2024-07-18_mlab_walmart-amazon-matching-in..._report.txt
walmart,400,ft:gpt-4o-mini-2024-07-18:mlab:walmart-amazon-matching-inconsistency-0907-400:CCtTFBNK,after,knn,inconsistency,0.0536,0.6667,0.0992,24,12,424,2459,/Users/kasiwamochi/Document/Lab2501/results_walmart-amazon/run_500_400_walmart-amazon/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_walmart-amazon-matching-di..._after-ft_gpt-4o-mini-2024-07-18_mlab_walmart-amazon-matching-in..._report.txt
walmart,400,ft:gpt-4o-mini-2024-07-18:mlab:walmart-amazon-matching-diversity-0904-400:CCtQGanW,before,all_pairs,diversity,0.3063,0.9444,0.4626,34,2,77,104998,/Users/kasiwamochi/Document/Lab2501/results_walmart-amazon/run_500_400_walmart-amazon/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_walmart-amazon-matching-di..._after-ft_gpt-4o-mini-2024-07-18_mlab_walmart-amazon-matching-in..._report.txt
walmart,400,ft:gpt-4o-mini-2024-07-18:mlab:walmart-amazon-matching-inconsistency-0907-400:CCtTFBNK,after,all_pairs,inconsistency,0.0008,0.75,0.0016,27,9,34441,70634,/Users/kasiwamochi/Document/Lab2501/results_walmart-amazon/run_500_400_walmart-amazon/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_walmart-amazon-matching-di..._after-ft_gpt-4o-mini-2024-07-18_mlab_walmart-amazon-matching-in..._report.txt
walmart,100,ft:gpt-4o-mini-2024-07-18:mlab:amazon-walmart-product-matching-inconsistency-0904-100:CBwzXgQF,before,knn,inconsistency,1.0,0.8611,0.9254,31,5,0,2883,/Users/kasiwamochi/Document/Lab2501/results_walmart-amazon/run_500_100_walmart-amazon/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_amazon..._after-ft_gpt-4o-mini-2024-07-18_mlab_amazon..._report.txt
walmart,100,ft:gpt-4o-mini-2024-07-18:mlab:amazon-walmart-product-matching-random-0904-100:CBwyCZXC,after,knn,random,1.0,0.8889,0.9412,32,4,0,2883,/Users/kasiwamochi/Document/Lab2501/results_walmart-amazon/run_500_100_walmart-amazon/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_amazon..._after-ft_gpt-4o-mini-2024-07-18_mlab_amazon..._report.txt
walmart,100,ft:gpt-4o-mini-2024-07-18:mlab:amazon-walmart-product-matching-inconsistency-0904-100:CBwzXgQF,before,all_pairs,inconsistency,1.0,0.8611,0.9254,31,5,0,105075,/Users/kasiwamochi/Document/Lab2501/results_walmart-amazon/run_500_100_walmart-amazon/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_amazon..._after-ft_gpt-4o-mini-2024-07-18_mlab_amazon..._report.txt
walmart,100,ft:gpt-4o-mini-2024-07-18:mlab:amazon-walmart-product-matching-random-0904-100:CBwyCZXC,after,all_pairs,random,1.0,0.8889,0.9412,32,4,0,105075,/Users/kasiwamochi/Document/Lab2501/results_walmart-amazon/run_500_100_walmart-amazon/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_amazon..._after-ft_gpt-4o-mini-2024-07-18_mlab_amazon..._report.txt
walmart,100,ft:gpt-4o-mini-2024-07-18:mlab:amazon-walmart-product-matching-uncertainty-0904-100:CBwwk13f,before,knn,uncertainty,0.9722,0.9722,0.9722,35,1,1,2882,/Users/kasiwamochi/Document/Lab2501/results_walmart-amazon/run_500_100_walmart-amazon/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_amazon-walmart-product-mat..._after-ft_gpt-4o-mini-2024-07-18_mlab_amazon-walmart-product-mat..._report.txt
walmart,100,ft:gpt-4o-mini-2024-07-18:mlab:amazon-walmart-product-matching-uncertainty-0904-100:CBwwk13f,after,knn,uncertainty,0.9722,0.9722,0.9722,35,1,1,2882,/Users/kasiwamochi/Document/Lab2501/results_walmart-amazon/run_500_100_walmart-amazon/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_amazon-walmart-product-mat..._after-ft_gpt-4o-mini-2024-07-18_mlab_amazon-walmart-product-mat..._report.txt
walmart,100,ft:gpt-4o-mini-2024-07-18:mlab:amazon-walmart-product-matching-uncertainty-0904-100:CBwwk13f,before,all_pairs,uncertainty,0.9722,0.9722,0.9722,35,1,1,105074,/Users/kasiwamochi/Document/Lab2501/results_walmart-amazon/run_500_100_walmart-amazon/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_amazon-walmart-product-mat..._after-ft_gpt-4o-mini-2024-07-18_mlab_amazon-walmart-product-mat..._report.txt
walmart,100,ft:gpt-4o-mini-2024-07-18:mlab:amazon-walmart-product-matching-uncertainty-0904-100:CBwwk13f,after,all_pairs,uncertainty,0.9722,0.9722,0.9722,35,1,1,105074,/Users/kasiwamochi/Document/Lab2501/results_walmart-amazon/run_500_100_walmart-amazon/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_amazon-walmart-product-mat..._after-ft_gpt-4o-mini-2024-07-18_mlab_amazon-walmart-product-mat..._report.txt
walmart,100,gpt-4o-mini-2024-07-18,before,knn,baseline,1.0,0.7222,0.8387,26,10,0,2883,/Users/kasiwamochi/Document/Lab2501/results_walmart-amazon/run_500_100_walmart-amazon/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_amazon..._report.txt
walmart,100,ft:gpt-4o-mini-2024-07-18:mlab:amazon-walmart-product-matching-diversity-0904-100:CBwyYLKE,after,knn,diversity,0.5538,1.0,0.7129,36,0,29,2854,/Users/kasiwamochi/Document/Lab2501/results_walmart-amazon/run_500_100_walmart-amazon/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_amazon..._report.txt
walmart,100,gpt-4o-mini-2024-07-18,before,all_pairs,baseline,1.0,0.7222,0.8387,26,10,0,105075,/Users/kasiwamochi/Document/Lab2501/results_walmart-amazon/run_500_100_walmart-amazon/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_amazon..._report.txt
walmart,100,ft:gpt-4o-mini-2024-07-18:mlab:amazon-walmart-product-matching-diversity-0904-100:CBwyYLKE,after,all_pairs,diversity,0.48,1.0,0.6486,36,0,39,105036,/Users/kasiwamochi/Document/Lab2501/results_walmart-amazon/run_500_100_walmart-amazon/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_amazon..._report.txt
walmart,200,ft:gpt-4o-mini-2024-07-18:mlab:amazon-walmart-product-matching-random-0826:C8jU2Zwv,before,knn,random,0.9231,1.0,0.96,36,0,3,2880,/Users/kasiwamochi/Document/Lab2501/results_walmart-amazon/run_500_200_walmart-amazon/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_amazon..._after-ft_gpt-4o-mini-2024-07-18_mlab_amazon..._report.txt
walmart,200,ft:gpt-4o-mini-2024-07-18:mlab:amazon-walmart-product-matching-random-0826:C8jU2Zwv,after,knn,random,0.9231,1.0,0.96,36,0,3,2880,/Users/kasiwamochi/Document/Lab2501/results_walmart-amazon/run_500_200_walmart-amazon/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_amazon..._after-ft_gpt-4o-mini-2024-07-18_mlab_amazon..._report.txt
walmart,200,ft:gpt-4o-mini-2024-07-18:mlab:amazon-walmart-product-matching-random-0826:C8jU2Zwv,before,all_pairs,random,0.9231,1.0,0.96,36,0,3,105072,/Users/kasiwamochi/Document/Lab2501/results_walmart-amazon/run_500_200_walmart-amazon/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_amazon..._after-ft_gpt-4o-mini-2024-07-18_mlab_amazon..._report.txt
walmart,200,ft:gpt-4o-mini-2024-07-18:mlab:amazon-walmart-product-matching-random-0826:C8jU2Zwv,after,all_pairs,random,0.9231,1.0,0.96,36,0,3,105072,/Users/kasiwamochi/Document/Lab2501/results_walmart-amazon/run_500_200_walmart-amazon/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_amazon..._after-ft_gpt-4o-mini-2024-07-18_mlab_amazon..._report.txt
walmart,200,ft:gpt-4o-mini-2024-07-18:mlab:amazon-walmart-product-matching-diversity-0826:C8jRHSiu,before,knn,diversity,0.9722,0.9722,0.9722,35,1,1,2882,/Users/kasiwamochi/Document/Lab2501/results_walmart-amazon/run_500_200_walmart-amazon/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_amazon-walmart-product-mat..._after-ft_gpt-4o-mini-2024-07-18_mlab_amazon-walmart-product-mat..._report.txt
walmart,200,ft:gpt-4o-mini-2024-07-18:mlab:amazon-walmart-product-matching-inconsistency-0825:C8FULlA4,after,knn,inconsistency,1.0,0.9167,0.9565,33,3,0,2883,/Users/kasiwamochi/Document/Lab2501/results_walmart-amazon/run_500_200_walmart-amazon/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_amazon-walmart-product-mat..._after-ft_gpt-4o-mini-2024-07-18_mlab_amazon-walmart-product-mat..._report.txt
